FinalComple Comple Symm FIFOSlowdown FIFOUnfairness FairSlowdown FairUnfairness DRFSlowdown DRFUnfairness PerfSlowdown PerfUnfairness 
0.047 0.093 0.714 0.036 0.395 0.152 0.068 0.062 0.000 0.000 0.574
0.097 0.190 0.714 0.116 0.066 0.188 0.090 0.000 0.000 0.036 0.026
0.041 0.164 0.500 0.137 0.141 0.088 0.125 0.157 0.000 0.000 1.288
0.000 0.004 0.091 0.000 0.246 0.146 0.141 0.159 0.000 0.024 0.178
0.026 0.230 0.333 0.188 0.116 0.167 0.026 0.167 0.000 0.000 0.378
0.054 0.217 0.500 0.062 0.104 0.150 0.070 0.106 0.000 0.000 0.002
0.004 0.099 0.200 0.182 0.624 0.273 0.034 0.245 0.000 0.000 0.048
0.119 0.119 1.000 0.284 0.496 0.179 0.248 0.137 0.000 0.000 0.478
0.003 0.068 0.200 0.045 0.071 0.191 0.061 0.155 0.000 0.000 0.102
0.004 0.033 0.333 0.067 0.269 0.144 0.119 0.115 0.000 0.000 0.050
0.002 0.049 0.200 0.080 0.312 0.260 0.042 0.270 0.000 0.000 1.263
0.035 0.139 0.500 0.000 0.943 0.254 0.258 0.254 0.000 0.063 0.282
0.088 0.173 0.714 0.027 0.181 0.178 0.150 0.068 0.000 0.000 0.222
0.001 0.009 0.333 0.000 0.041 0.071 0.121 0.050 0.000 0.035 0.014
0.016 0.146 0.333 0.111 1.445 0.192 0.159 0.061 0.000 0.000 0.169
0.039 0.077 0.714 0.026 0.112 0.096 0.044 0.061 0.000 0.000 0.059
0.013 0.114 0.333 0.125 1.783 0.188 0.140 0.083 0.000 0.000 2.910
0.107 0.210 0.714 0.128 0.134 0.186 0.176 0.081 0.000 0.000 0.329
0.030 0.058 0.714 0.117 1.521 0.247 0.207 0.247 0.000 0.000 0.655
0.034 0.066 0.714 0.072 0.569 0.232 0.238 0.188 0.000 0.000 0.258
0.001 0.009 0.333 0.000 0.119 0.117 0.156 0.135 0.000 0.126 0.216
0.048 0.093 0.714 0.089 0.017 0.189 0.099 0.156 0.000 0.000 0.030
0.013 0.119 0.333 0.000 0.558 0.090 0.192 0.128 0.000 0.154 0.305
0.022 0.199 0.333 0.101 1.560 0.303 0.086 0.202 0.000 0.000 1.863
0.021 0.193 0.333 0.000 0.091 0.145 0.050 0.111 0.000 0.000 0.020
0.079 0.315 0.500 0.089 0.609 0.356 0.242 0.000 0.000 0.109 0.603
0.097 0.097 1.000 0.029 0.382 0.162 0.230 0.086 0.000 0.000 0.134
